Canción,Artista,Álbum,Artista del Álbum,Género,Fecha,Duración Segundos,bpm,Color Tempo de beaTunes,Espectro de beaTunes,Color de beaTunes,Color Tempo Timbre de beaTunes,Id Pista,Tipo,Tiempo Total,Año,Tasa de Bits,Frecuencia de Muestreo,Valoración,Valoración Álbum,Valoración Álbum Computada,Normalización,Cantidad Carpetas Archivo,Cantidad Carpetas Biblioteca,Reproducciones,Fecha de Reproducción,Fecha de Reproducción UTC,Compositor,Compilación,Explícito,Valoración Computada,Bailabilidad,Afinación
Bésame,Camila,Dejarte de Amar (Edición Especial),Camila,Pop en español,2010-02-08,253.44,88,212111,64.31102;76.00394;99.0;57.68504;40.535435;62.362206;58.854332;46.38189;40.535435;38.97638;38.586617;48.330708;61.972443;57.68504;41.704723;50.669292;51.83858;57.295277;56.125984;63.921257;72.1063;98.61023;58.854332;0.0;,f66ba9,cfac55,11545.0,Archivo de audio AAC,253422.0,2010.0,318.0,48000.0,100.0,100.0,True,2949.0,5.0,1.0,7.0,3822902379.0,2025-02-20 19:19:39,,,,,50.0,3.0
Cool,Dua Lipa,Future Nostalgia,Dua Lipa,Pop,2020-03-27,209.68,91,010302,59.244095;99.0;60.02362;47.940945;51.44882;21.047245;30.79134;33.519684;33.519684;44.04331;46.38189;47.940945;49.110237;52.61811;37.417324;49.110237;47.940945;57.295277;68.208664;58.854332;70.93701;96.661415;59.244095;0.0;,fe8974,b7c5a3,5087.0,Archivo de audio MPEG,209711.0,2020.0,256.0,44100.0,100.0,100.0,True,6394.0,5.0,1.0,7.0,3825864195.0,2025-03-27 02:03:15,,,,,60.0,-1.0
¿Te Ha Pasado?,"Paty Cantú, Pitizion & Camila Fernández",La Mexicana,Paty Cantú,Pop en español,2020-10-30,163.32,83,292512,27.67323;81.85039;94.32283;61.582676;59.633858;71.71654;71.71654;99.0;54.177166;57.295277;60.80315;50.279526;73.66535;86.91732;43.65354;60.02362;41.31496;53.397636;58.464565;65.87008;63.921257;75.614174;45.602364;0.0;,870086,984934,8085.0,Archivo de audio MPEG,163343.0,2020.0,256.0,44100.0,100.0,100.0,True,3123.0,5.0,1.0,7.0,3831025277.0,2025-05-25 18:41:17,,,,,17.0,
GRAN VÍA,Quevedo & Aitana,BUENAS NOCHES,Quevedo,Música latina,2024-11-22,213.6,160,0b0710,81.46063;99.0;69.767715;44.822834;72.885826;51.83858;56.515747;42.484253;38.97638;55.34646;61.582676;51.059055;45.602364;58.464565;27.67323;26.893702;51.44882;42.874016;69.37795;81.07086;83.019684;83.40945;51.83858;0.0;,f9999e,645a4d,12041.0,Archivo de audio AAC,213577.0,2024.0,331.0,48000.0,100.0,100.0,True,4061.0,5.0,1.0,7.0,3830947524.0,2025-05-24 21:05:24,,,,,26.0,1.0
Bitch!!,THE ORAL CIGARETTES,AlterGeist0000,THE ORAL CIGARETTES,J-Pop,2025-01-22,208.7,178,08060e,74.444885;91.59448;37.027557;20.657482;23.385828;32.350395;37.807087;35.078743;26.893702;33.12992;31.570868;39.366142;56.125984;99.0;63.921257;72.885826;83.79921;69.767715;78.342514;75.614174;66.25984;58.854332;29.622047;0.0;,e75841,64685f,14245.0,Archivo de audio AAC,208678.0,2025.0,324.0,48000.0,100.0,100.0,True,15733.0,5.0,1.0,7.0,3831408905.0,2025-05-30 05:15:05,,,,,24.0,
螺旋,Itsue,「今夜絶対」,Itsue,J-Rock,2015-01-21,131.02,176,000101,63.14173;99.0;42.484253;36.24803;40.925198;44.822834;43.26378;44.04331;61.192913;60.80315;44.43307;69.767715;59.633858;80.291336;69.767715;83.40945;86.137794;93.93307;85.74803;74.055115;50.279526;55.34646;27.283466;0.0;,d13e37,765850,13115.0,Archivo de audio AAC,131000.0,2015.0,322.0,48000.0,100.0,100.0,True,11736.0,5.0,1.0,7.0,3830091255.0,2025-05-14 23:14:15,,,,,20.0,1.0
asura,Cö shu Nie,Aurora - EP,Cö shu Nie,J-Rock,2018-10-24,94.38,143,65584c,60.80315;99.0;73.27559;57.68504;41.31496;44.04331;52.61811;54.177166;44.43307;38.97638;36.24803;43.26378;64.31102;68.208664;47.55118;65.09055;86.52756;84.578735;91.98425;90.42519;73.66535;70.93701;52.61811;0.0;,ef5850,bb9a79,4663.0,Archivo de audio MPEG,94406.0,2018.0,256.0,44100.0,100.0,100.0,True,11535.0,5.0,1.0,7.0,3831367404.0,2025-05-29 17:43:24,Miku Nakamura,,,,15.0,1.0
どっぺるゲンガー,ONE OK ROCK,KANJOU EFFECT,ONE OK ROCK,J-Pop,2008,219.95,85,05040c,64.70079;87.30708;81.85039;36.637794;33.12992;35.078743;33.519684;24.555119;35.85827;41.31496;32.740158;48.330708;40.535435;47.940945;42.09449;62.362206;61.972443;84.18898;99.0;99.0;95.88189;70.54724;36.637794;0.0;,fc7566,91978e,7599.0,Audio Apple Lossless,219946.0,2008.0,1536.0,48000.0,100.0,100.0,True,13366.0,5.0,1.0,7.0,3829951256.0,2025-05-13 08:20:56,,,,,34.0,2.0
Delusion:All,ONE OK ROCK,DETOX - International Version,ONE OK ROCK,J-Rock,2024-07-12T12:00:00Z,184.97,109,bc7d49,65.480316;83.019684;63.14173;40.535435;43.26378;52.228348;64.31102;59.244095;51.059055;69.37795;50.279526;57.295277;71.71654;99.0;50.669292;75.614174;67.03937;70.93701;88.866135;81.46063;85.35826;77.95276;48.720474;0.0;,e33564,a77767,18347.0,Archivo de audio AAC comprado,184909.0,2024.0,256.0,44100.0,100.0,100.0,True,11033.0,5.0,1.0,7.0,3826714541.0,2025-04-05 22:15:41,"Dan Lancaster, Derek Tyler Carter, Jason Aalon & Taka.",,True,,17.0,2.0
Bug,THE ORAL CIGARETTES,Bug - Single,THE ORAL CIGARETTES,J-Rock,2022-08-10,231.52,91,160a1b,64.70079;99.0;56.515747;29.232285;23.77559;23.385828;31.570868;25.724411;31.96063;33.90945;29.232285;34.688976;36.24803;46.771652;33.519684;46.38189;43.65354;46.38189;53.7874;63.921257;66.649605;68.208664;38.97638;0.0;,f69f5b,5b595f,9533.0,Archivo de audio MPEG,231549.0,2022.0,256.0,44100.0,100.0,100.0,True,7075.0,5.0,1.0,7.0,3831024025.0,2025-05-25 18:20:25,,,,,24.0,4.0
Goma de Mascar,Paty Cantú,Afortunadamente No Eres Tú (Edición Especial),Paty Cantú,Pop,2010-01-01,179.44,133,cb96dc,99.0;78.732285;47.16142;59.633858;50.669292;54.177166;74.055115;66.649605;37.807087;55.34646;37.417324;36.637794;49.889763;54.95669;37.807087;49.5;62.75197;66.25984;70.93701;70.15748;73.66535;91.20473;59.633858;0.0;,f765a3,847d6c,7885.0,Archivo de audio MPEG,179461.0,2010.0,256.0,44100.0,100.0,100.0,True,2172.0,5.0,1.0,7.0,3831278966.0,2025-05-28 17:09:26,,,,,70.0,2.0
For You Ufo,フレデリック,Ototune,フレデリック,J-Rock,2015-11-25,252.56,135,b0aa8b,48.330708;99.0;67.03937;52.228348;38.19685;53.007874;35.85827;44.04331;35.078743;41.704723;37.027557;44.43307;49.110237;64.70079;51.059055;46.771652;82.24016;60.02362;55.73622;47.16142;38.586617;61.972443;39.366142;0.0;,ce5e21,c19d3a,5389.0,Audio Apple Lossless,252563.0,2015.0,2304.0,48000.0,100.0,100.0,True,9943.0,5.0,1.0,6.0,3829847745.0,2025-05-12 03:35:45,,,,,27.0,1.0
no future,Cö shu Nie,no future - Single,Cö shu Nie,J-Rock,2023-06-28,201.43,95,060b19,63.531494;99.0;48.720474;47.940945;37.417324;29.232285;27.283466;31.570868;31.96063;20.657482;18.708662;19.098427;35.468506;34.299213;23.77559;22.6063;26.893702;36.637794;39.755905;33.519684;26.503939;34.299213;28.062992;0.0;,a7df35,4f1e2e,4725.0,Archivo de audio MPEG,201456.0,2023.0,256.0,44100.0,100.0,100.0,True,5959.0,5.0,1.0,6.0,3831242935.0,2025-05-28 07:08:55,Miku Nakamura,,,,22.0,
Madonna,FLiP,Girls- Single,FLiP,J-Rock,2014-07-30,264.64,132,b2bda1,67.42913;99.0;68.59843;45.602364;33.90945;46.38189;49.5;50.669292;38.19685;63.531494;36.24803;38.97638;57.295277;44.04331;26.114174;36.637794;63.14173;68.208664;63.14173;59.633858;57.68504;66.649605;60.02362;0.0;,f78254,c69b6d,13917.0,Archivo de audio AAC,264614.0,2014.0,329.0,48000.0,100.0,100.0,True,8902.0,5.0,1.0,6.0,3826009282.0,2025-03-28 18:21:22,,,,,33.0,
Uso,フレデリック,Ototune,フレデリック,J-Rock,2015-11-25,284.12,127,725967,54.177166;99.0;71.32677;47.16142;53.7874;38.97638;44.04331;24.944883;20.267717;28.452757;25.334646;29.232285;28.062992;31.570868;23.77559;33.519684;37.027557;34.299213;39.366142;34.688976;37.807087;43.65354;26.503939;0.0;,96ec40,160c19,5395.0,Audio Apple Lossless,284119.0,2015.0,2304.0,48000.0,100.0,100.0,True,4442.0,5.0,1.0,6.0,3831285505.0,2025-05-28 18:58:25,,,,,29.0,
